run;type;module;name;attrname;attrvalue;value
DefaultBMAC_medium-8-20230508-19:09:41-18828;runattr;;;configname;DefaultBMAC_medium;
DefaultBMAC_medium-8-20230508-19:09:41-18828;runattr;;;datetime;20230508-19:09:41;
DefaultBMAC_medium-8-20230508-19:09:41-18828;runattr;;;datetimef;20230508-190941;
DefaultBMAC_medium-8-20230508-19:09:41-18828;runattr;;;experiment;DefaultBMAC_medium;
DefaultBMAC_medium-8-20230508-19:09:41-18828;runattr;;;inifile;omnetpp.ini;
DefaultBMAC_medium-8-20230508-19:09:41-18828;runattr;;;iterationvars;$N=45;
DefaultBMAC_medium-8-20230508-19:09:41-18828;runattr;;;iterationvarsd;N=45;
DefaultBMAC_medium-8-20230508-19:09:41-18828;runattr;;;iterationvarsf;N=45-;
DefaultBMAC_medium-8-20230508-19:09:41-18828;runattr;;;measurement;$N=45;
DefaultBMAC_medium-8-20230508-19:09:41-18828;runattr;;;network;SimMAC;
DefaultBMAC_medium-8-20230508-19:09:41-18828;runattr;;;processid;18828;
DefaultBMAC_medium-8-20230508-19:09:41-18828;runattr;;;repetition;0;
DefaultBMAC_medium-8-20230508-19:09:41-18828;runattr;;;replication;#0;
DefaultBMAC_medium-8-20230508-19:09:41-18828;runattr;;;resultdir;results/DefaultBMAC_medium;
DefaultBMAC_medium-8-20230508-19:09:41-18828;runattr;;;runnumber;8;
DefaultBMAC_medium-8-20230508-19:09:41-18828;runattr;;;seedset;8;
DefaultBMAC_medium-8-20230508-19:09:41-18828;itervar;;;N;45;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;image-path;../../../../../Omnet++/inet4.5/images;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;result-dir;results/DefaultBMAC_medium;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.sensorsTotalNumber;45;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.vector-recording;false;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.wlan[*].mac.typename;BMac;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.wlan[*].mac.headerLength;1B;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.wlan[*].mac.slotDuration;0.1s;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.wlan[*].queue.typename;DropTailQueue;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;network;SimMAC;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.distFromSensorToSink;50m;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.distFromServerToSink;30m;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;sim-time-limit;100s;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.enableVisualisation;false;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.server.app[0].throughput:vector.vector-recording;true;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.vector-recording;false;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.scalar-recording;false;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.param-recording;false;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.wlan[*].typename;WirelessInterface;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.arp.typename;GlobalArp;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.netmaskRoutes;"""""";
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.gateway.forwarding;true;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.maxTransmissionDuration;100ms;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.configurator.addStaticRoutes;false;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.mobility.constraintAreaMaxX;500m;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.mobility.constraintAreaMinX;0m;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.mobility.constraintAreaMaxY;400m;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.mobility.constraintAreaMinY;0m;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.mobility.constraintAreaMaxZ;0m;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.mobility.constraintAreaMinZ;0m;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.mobility.initFromDisplayString;false;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.radio.centerFrequency;2.45GHz;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.radio.bandwidth;2.8MHz;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.radio.transmitter.bitrate;19200 bps;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.radio.transmitter.headerLength;8b;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.radio.transmitter.preambleDuration;0.0001s;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.radio.transmitter.power;2.24mW;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.radio.receiver.energyDetection;-90dBm;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.radio.receiver.sensitivity;-100dBm;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;**.radio.receiver.snirThreshold;-8dB;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.radioMedium.backgroundNoise.power;-110dBm;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.visualizer.*.routingTableVisualizer.displayRoutingTables;false;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.visualizer.*.routingTableVisualizer.displayRoutesIndividually;false;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.visualizer.*.routingTableVisualizer.lineShift;0;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.visualizer.*.routingTableVisualizer.displayLabels;false;
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.visualizer.*.infoVisualizer.modules;"""*.server.app[0]""";
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.visualizer.*.infoVisualizer.format;"""%t""";
DefaultBMAC_medium-8-20230508-19:09:41-18828;config;;;*.sensorType1*.numApps;1;
