run;type;module;name;attrname;attrvalue;value
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;runattr;;;configname;LMAC_defaultSD_differentNS_medium;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;runattr;;;datetime;20230508-19:35:52;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;runattr;;;datetimef;20230508-193552;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;runattr;;;experiment;LMAC_defaultSD_differentNS_medium;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;runattr;;;inifile;omnetpp.ini;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;runattr;;;iterationvars;$N=30, $NS=int(ceil(30/8)*8);
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;runattr;;;iterationvarsd;N=30/NS=int(ceil(30#2f8)#2a8);
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;runattr;;;iterationvarsf;N=30,NS=int(ceil(30#2f8)#2a8)-;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;runattr;;;measurement;$N=30, $NS=int(ceil(30/8)*8);
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;runattr;;;network;SimMAC;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;runattr;;;processid;16972;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;runattr;;;repetition;0;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;runattr;;;replication;#0;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;runattr;;;resultdir;results/LMAC_defaultSD_differentNS_medium;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;runattr;;;runnumber;5;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;runattr;;;seedset;5;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;itervar;;;N;30;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;itervar;;;NS;int(ceil(30/8)*8);
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;config;;;image-path;../../../../../Omnet++/inet4.5/images;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;config;;;result-dir;results/LMAC_defaultSD_differentNS_medium;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;config;;;*.sensorsTotalNumber;30;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;config;;;**.vector-recording;false;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;config;;;**.wlan[*].mac.typename;LMac;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;config;;;**.wlan[*].mac.headerLength;1B;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;config;;;**.mac.slotDuration;100ms;
LMAC_defaultSD_differentNS_medium-5-20230508-19:35:52-16972;config;;;**.mac.numSlots;int(ceil(30/8)*8);
