run;type;module;name;attrname;attrvalue;value
DefaultLMAC-1-20230508-18:52:03-12648;runattr;;;configname;DefaultLMAC;
DefaultLMAC-1-20230508-18:52:03-12648;runattr;;;datetime;20230508-18:52:03;
DefaultLMAC-1-20230508-18:52:03-12648;runattr;;;datetimef;20230508-185203;
DefaultLMAC-1-20230508-18:52:03-12648;runattr;;;experiment;DefaultLMAC;
DefaultLMAC-1-20230508-18:52:03-12648;runattr;;;inifile;omnetpp.ini;
DefaultLMAC-1-20230508-18:52:03-12648;runattr;;;iterationvars;$N=20;
DefaultLMAC-1-20230508-18:52:03-12648;runattr;;;iterationvarsd;N=20;
DefaultLMAC-1-20230508-18:52:03-12648;runattr;;;iterationvarsf;N=20-;
DefaultLMAC-1-20230508-18:52:03-12648;runattr;;;measurement;$N=20;
DefaultLMAC-1-20230508-18:52:03-12648;runattr;;;network;SimMAC;
DefaultLMAC-1-20230508-18:52:03-12648;runattr;;;processid;12648;
DefaultLMAC-1-20230508-18:52:03-12648;runattr;;;repetition;0;
DefaultLMAC-1-20230508-18:52:03-12648;runattr;;;replication;#0;
DefaultLMAC-1-20230508-18:52:03-12648;runattr;;;resultdir;results/DefaultLMAC;
DefaultLMAC-1-20230508-18:52:03-12648;runattr;;;runnumber;1;
DefaultLMAC-1-20230508-18:52:03-12648;runattr;;;seedset;1;
DefaultLMAC-1-20230508-18:52:03-12648;itervar;;;N;20;
DefaultLMAC-1-20230508-18:52:03-12648;config;;;image-path;../../../../../Omnet++/inet4.5/images;
DefaultLMAC-1-20230508-18:52:03-12648;config;;;result-dir;results/DefaultLMAC;
DefaultLMAC-1-20230508-18:52:03-12648;config;;;*.sensorsTotalNumber;20;
DefaultLMAC-1-20230508-18:52:03-12648;config;;;**.vector-recording;false;
DefaultLMAC-1-20230508-18:52:03-12648;config;;;**.wlan[*].mac.typename;LMac;
DefaultLMAC-1-20230508-18:52:03-12648;config;;;**.wlan[*].mac.headerLength;1B;
DefaultLMAC-1-20230508-18:52:03-12648;config;;;**.mac.slotDuration;100ms;
DefaultLMAC-1-20230508-18:52:03-12648;config;;;**.mac.numSlots;64;
DefaultLMAC-1-20230508-18:52:03-12648;config;;;**.mac.reservedMobileSlots;0;
DefaultLMAC-1-20230508-18:52:03-12648;config;;;**.wlan[*].queue.typename;DropTailQueue;
DefaultLMAC-1-20230508-18:52:03-12648;config;;;network;SimMAC;
DefaultLMAC-1-20230508-18:52:03-12648;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
DefaultLMAC-1-20230508-18:52:03-12648;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
DefaultLMAC-1-20230508-18:52:03-12648;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
DefaultLMAC-1-20230508-18:52:03-12648;config;;;*.distFromSensorToSink;50m;
