run;type;module;name;attrname;attrvalue;value
DefaultXMAC-4-20230506-22:24:34-18872;runattr;;;configname;DefaultXMAC;
DefaultXMAC-4-20230506-22:24:34-18872;runattr;;;datetime;20230506-22:24:34;
DefaultXMAC-4-20230506-22:24:34-18872;runattr;;;datetimef;20230506-222434;
DefaultXMAC-4-20230506-22:24:34-18872;runattr;;;experiment;DefaultXMAC;
DefaultXMAC-4-20230506-22:24:34-18872;runattr;;;inifile;omnetpp.ini;
DefaultXMAC-4-20230506-22:24:34-18872;runattr;;;iterationvars;$N=50;
DefaultXMAC-4-20230506-22:24:34-18872;runattr;;;iterationvarsd;N=50;
DefaultXMAC-4-20230506-22:24:34-18872;runattr;;;iterationvarsf;N=50-;
DefaultXMAC-4-20230506-22:24:34-18872;runattr;;;measurement;$N=50;
DefaultXMAC-4-20230506-22:24:34-18872;runattr;;;network;SimMAC;
DefaultXMAC-4-20230506-22:24:34-18872;runattr;;;processid;18872;
DefaultXMAC-4-20230506-22:24:34-18872;runattr;;;repetition;0;
DefaultXMAC-4-20230506-22:24:34-18872;runattr;;;replication;#0;
DefaultXMAC-4-20230506-22:24:34-18872;runattr;;;resultdir;results/DefaultXMAC;
DefaultXMAC-4-20230506-22:24:34-18872;runattr;;;runnumber;4;
DefaultXMAC-4-20230506-22:24:34-18872;runattr;;;seedset;4;
DefaultXMAC-4-20230506-22:24:34-18872;itervar;;;N;50;
DefaultXMAC-4-20230506-22:24:34-18872;config;;;image-path;../../../../../Omnet++/inet4.5/images;
DefaultXMAC-4-20230506-22:24:34-18872;config;;;result-dir;results/DefaultXMAC;
DefaultXMAC-4-20230506-22:24:34-18872;config;;;*.sensorsTotalNumber;50;
DefaultXMAC-4-20230506-22:24:34-18872;config;;;**.vector-recording;false;
DefaultXMAC-4-20230506-22:24:34-18872;config;;;**.wlan[*].mac.typename;XMac;
DefaultXMAC-4-20230506-22:24:34-18872;config;;;**.wlan[*].mac.headerLength;80b;
DefaultXMAC-4-20230506-22:24:34-18872;config;;;**.wlan[*].mac.slotDuration;1s;
