run;type;module;name;attrname;attrvalue;value
NumSlotsLMAC-35-20230506-10:42:48-5140;runattr;;;configname;NumSlotsLMAC;
NumSlotsLMAC-35-20230506-10:42:48-5140;runattr;;;datetime;20230506-10:42:48;
NumSlotsLMAC-35-20230506-10:42:48-5140;runattr;;;datetimef;20230506-104248;
NumSlotsLMAC-35-20230506-10:42:48-5140;runattr;;;experiment;NumSlotsLMAC;
NumSlotsLMAC-35-20230506-10:42:48-5140;runattr;;;inifile;omnetpp.ini;
NumSlotsLMAC-35-20230506-10:42:48-5140;runattr;;;iterationvars;$N=50, $NS=32;
NumSlotsLMAC-35-20230506-10:42:48-5140;runattr;;;iterationvarsd;N=50/NS=32;
NumSlotsLMAC-35-20230506-10:42:48-5140;runattr;;;iterationvarsf;N=50,NS=32-;
NumSlotsLMAC-35-20230506-10:42:48-5140;runattr;;;measurement;$N=50, $NS=32;
NumSlotsLMAC-35-20230506-10:42:48-5140;runattr;;;network;SimMAC;
NumSlotsLMAC-35-20230506-10:42:48-5140;runattr;;;processid;5140;
NumSlotsLMAC-35-20230506-10:42:48-5140;runattr;;;repetition;0;
NumSlotsLMAC-35-20230506-10:42:48-5140;runattr;;;replication;#0;
NumSlotsLMAC-35-20230506-10:42:48-5140;runattr;;;resultdir;results/NumSlotsLMAC;
NumSlotsLMAC-35-20230506-10:42:48-5140;runattr;;;runnumber;35;
NumSlotsLMAC-35-20230506-10:42:48-5140;runattr;;;seedset;35;
NumSlotsLMAC-35-20230506-10:42:48-5140;itervar;;;N;50;
NumSlotsLMAC-35-20230506-10:42:48-5140;itervar;;;NS;32;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;image-path;../../../../../Omnet++/inet4.5/images;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;result-dir;results/NumSlotsLMAC;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;*.sensorsTotalNumber;50;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;**.vector-recording;false;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;**.wlan[*].mac.typename;LMac;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;**.wlan[*].mac.headerLength;1B;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;**.mac.slotDuration;100ms;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;**.mac.numSlots;32;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;**.mac.reservedMobileSlots;0;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;**.wlan[*].queue.typename;DropTailQueue;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;network;SimMAC;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;*.distFromSensorToSink;50m;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;*.distFromServerToSink;30m;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;sim-time-limit;100s;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;*.enableVisualisation;false;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;*.server.app[0].throughput:vector.vector-recording;true;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;**.vector-recording;false;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;**.scalar-recording;false;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;**.param-recording;false;
NumSlotsLMAC-35-20230506-10:42:48-5140;config;;;**.wlan[*].typename;WirelessInterface;
