run;type;module;name;attrname;attrvalue;value
NumSlotsLMAC-66-20230503-19:14:38-4240;runattr;;;configname;NumSlotsLMAC;
NumSlotsLMAC-66-20230503-19:14:38-4240;runattr;;;datetime;20230503-19:14:38;
NumSlotsLMAC-66-20230503-19:14:38-4240;runattr;;;datetimef;20230503-191438;
NumSlotsLMAC-66-20230503-19:14:38-4240;runattr;;;experiment;NumSlotsLMAC;
NumSlotsLMAC-66-20230503-19:14:38-4240;runattr;;;inifile;omnetpp.ini;
NumSlotsLMAC-66-20230503-19:14:38-4240;runattr;;;iterationvars;$N=50, $NS=32;
NumSlotsLMAC-66-20230503-19:14:38-4240;runattr;;;iterationvarsd;N=50/NS=32;
NumSlotsLMAC-66-20230503-19:14:38-4240;runattr;;;iterationvarsf;N=50,NS=32-;
NumSlotsLMAC-66-20230503-19:14:38-4240;runattr;;;measurement;$N=50, $NS=32;
NumSlotsLMAC-66-20230503-19:14:38-4240;runattr;;;network;SimMAC;
NumSlotsLMAC-66-20230503-19:14:38-4240;runattr;;;processid;4240;
NumSlotsLMAC-66-20230503-19:14:38-4240;runattr;;;repetition;0;
NumSlotsLMAC-66-20230503-19:14:38-4240;runattr;;;replication;#0;
NumSlotsLMAC-66-20230503-19:14:38-4240;runattr;;;resultdir;results/NumSlotsLMAC;
NumSlotsLMAC-66-20230503-19:14:38-4240;runattr;;;runnumber;66;
NumSlotsLMAC-66-20230503-19:14:38-4240;runattr;;;seedset;66;
NumSlotsLMAC-66-20230503-19:14:38-4240;itervar;;;N;50;
NumSlotsLMAC-66-20230503-19:14:38-4240;itervar;;;NS;32;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;image-path;../../../../../Omnet++/inet4.5/images;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;result-dir;results/NumSlotsLMAC;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.sensorsTotalNumber;50;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.vector-recording;false;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.wlan[*].mac.typename;LMac;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.wlan[*].mac.headerLength;1B;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.mac.slotDuration;100ms;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.mac.numSlots;32;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.mac.reservedMobileSlots;0;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.wlan[*].queue.typename;DropTailQueue;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;network;SimMAC;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.distFromSensorToSink;50m;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.distFromServerToSink;30m;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;sim-time-limit;100s;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.enableVisualisation;false;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.server.app[0].throughput:vector.vector-recording;true;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.vector-recording;false;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.scalar-recording;false;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.param-recording;false;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.wlan[*].typename;WirelessInterface;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.arp.typename;GlobalArp;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.netmaskRoutes;"""""";
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.gateway.forwarding;true;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.maxTransmissionDuration;100ms;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;*.configurator.addStaticRoutes;false;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.mobility.constraintAreaMaxX;500m;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.mobility.constraintAreaMinX;0m;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.mobility.constraintAreaMaxY;400m;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.mobility.constraintAreaMinY;0m;
NumSlotsLMAC-66-20230503-19:14:38-4240;config;;;**.mobility.constraintAreaMaxZ;0m;
