run;type;module;name;attrname;attrvalue;value
SlotDurationBMac-29-20230506-22:59:04-12720;runattr;;;configname;SlotDurationBMac;
SlotDurationBMac-29-20230506-22:59:04-12720;runattr;;;datetime;20230506-22:59:04;
SlotDurationBMac-29-20230506-22:59:04-12720;runattr;;;datetimef;20230506-225904;
SlotDurationBMac-29-20230506-22:59:04-12720;runattr;;;experiment;SlotDurationBMac;
SlotDurationBMac-29-20230506-22:59:04-12720;runattr;;;inifile;omnetpp.ini;
SlotDurationBMac-29-20230506-22:59:04-12720;runattr;;;iterationvars;$N=10, $slotDuration=0.5;
SlotDurationBMac-29-20230506-22:59:04-12720;runattr;;;iterationvarsd;N=10/slotDuration=0.5;
SlotDurationBMac-29-20230506-22:59:04-12720;runattr;;;iterationvarsf;N=10,slotDuration=0.5-;
SlotDurationBMac-29-20230506-22:59:04-12720;runattr;;;measurement;$N=10, $slotDuration=0.5;
SlotDurationBMac-29-20230506-22:59:04-12720;runattr;;;network;SimMAC;
SlotDurationBMac-29-20230506-22:59:04-12720;runattr;;;processid;12720;
SlotDurationBMac-29-20230506-22:59:04-12720;runattr;;;repetition;0;
SlotDurationBMac-29-20230506-22:59:04-12720;runattr;;;replication;#0;
SlotDurationBMac-29-20230506-22:59:04-12720;runattr;;;resultdir;results/SlotDurationBMAC;
SlotDurationBMac-29-20230506-22:59:04-12720;runattr;;;runnumber;29;
SlotDurationBMac-29-20230506-22:59:04-12720;runattr;;;seedset;29;
SlotDurationBMac-29-20230506-22:59:04-12720;itervar;;;N;10;
SlotDurationBMac-29-20230506-22:59:04-12720;itervar;;;slotDuration;0.5;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;result-dir;results/SlotDurationBMAC;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;*.sensorsTotalNumber;10;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;**.vector-recording;false;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;**.wlan[*].mac.typename;BMac;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;**.wlan[*].mac.headerLength;1B;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;**.wlan[*].mac.slotDuration;0.5s;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;network;SimMAC;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;*.distFromSensorToSink;50m;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;*.distFromServerToSink;30m;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;sim-time-limit;100s;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;*.enableVisualisation;false;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;**.vector-recording;false;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;**.scalar-recording;false;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;**.param-recording;false;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationBMac-29-20230506-22:59:04-12720;config;;;**.arp.typename;GlobalArp;
