run;type;module;name;attrname;attrvalue;value
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;runattr;;;configname;SlotDurationLMAC_NS16_short;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;runattr;;;datetime;20230507-16:01:36;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;runattr;;;datetimef;20230507-160136;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;runattr;;;experiment;SlotDurationLMAC_NS16_short;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;runattr;;;inifile;omnetpp.ini;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;runattr;;;iterationvars;$N=25, $slotDuration=0.08;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;runattr;;;iterationvarsd;N=25/slotDuration=0.08;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;runattr;;;iterationvarsf;N=25,slotDuration=0.08-;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;runattr;;;measurement;$N=25, $slotDuration=0.08;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;runattr;;;network;SimMAC;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;runattr;;;processid;1224;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;runattr;;;repetition;0;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;runattr;;;replication;#0;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;runattr;;;resultdir;results/SlotDurationLMAC/short/NS16;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;runattr;;;runnumber;107;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;runattr;;;seedset;107;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;itervar;;;N;25;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;itervar;;;slotDuration;0.08;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;config;;;result-dir;results/SlotDurationLMAC/short/NS16;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;config;;;*.sensorsTotalNumber;25;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;config;;;**.vector-recording;false;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;config;;;**.wlan[*].mac.typename;LMac;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;config;;;**.wlan[*].mac.headerLength;1B;
SlotDurationLMAC_NS16_short-107-20230507-16:01:36-1224;config;;;**.mac.slotDuration;0.08s;
