run;type;module;name;attrname;attrvalue;value
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;runattr;;;configname;SlotDurationLMAC_NS64;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;runattr;;;datetime;20230507-13:00:48;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;runattr;;;datetimef;20230507-130048;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;runattr;;;experiment;SlotDurationLMAC_NS64;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;runattr;;;inifile;omnetpp.ini;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;runattr;;;iterationvars;$N=40, $slotDuration=0.2;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;runattr;;;iterationvarsd;N=40/slotDuration=0.2;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;runattr;;;iterationvarsf;N=40,slotDuration=0.2-;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;runattr;;;measurement;$N=40, $slotDuration=0.2;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;runattr;;;network;SimMAC;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;runattr;;;processid;10320;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;runattr;;;repetition;0;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;runattr;;;replication;#0;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;runattr;;;resultdir;results/SlotDurationLMAC/NS64;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;runattr;;;runnumber;143;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;runattr;;;seedset;143;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;itervar;;;N;40;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;itervar;;;slotDuration;0.2;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;result-dir;results/SlotDurationLMAC/NS64;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.sensorsTotalNumber;40;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.vector-recording;false;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.wlan[*].mac.typename;LMac;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.wlan[*].mac.headerLength;1B;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.mac.slotDuration;0.2s;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.mac.numSlots;64;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.mac.reservedMobileSlots;0;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;network;SimMAC;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.distFromSensorToSink;50m;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.distFromServerToSink;30m;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;sim-time-limit;100s;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.enableVisualisation;false;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.vector-recording;false;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.scalar-recording;false;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.param-recording;false;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.arp.typename;GlobalArp;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.netmaskRoutes;"""""";
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.gateway.forwarding;true;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.maxTransmissionDuration;100ms;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;*.configurator.addStaticRoutes;false;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.mobility.constraintAreaMaxX;500m;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.mobility.constraintAreaMinX;0m;
SlotDurationLMAC_NS64-143-20230507-13:00:48-10320;config;;;**.mobility.constraintAreaMaxY;400m;
