run;type;module;name;attrname;attrvalue;value
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;runattr;;;configname;SlotDurationLMAC_differentNS_short;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;runattr;;;datetime;20230507-16:38:22;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;runattr;;;datetimef;20230507-163822;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;runattr;;;experiment;SlotDurationLMAC_differentNS_short;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;runattr;;;inifile;omnetpp.ini;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;runattr;;;iterationvars;$N=20, $slotDuration=0.19, $NS=int(ceil(20/8)*8);
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;runattr;;;iterationvarsd;N=20/slotDuration=0.19/NS=int(ceil(20#2f8)#2a8);
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;runattr;;;iterationvarsf;N=20,slotDuration=0.19,NS=int(ceil(20#2f8)#2a8)-;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;runattr;;;measurement;$N=20, $slotDuration=0.19, $NS=int(ceil(20/8)*8);
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;runattr;;;network;SimMAC;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;runattr;;;processid;14640;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;runattr;;;repetition;0;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;runattr;;;replication;#0;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;runattr;;;resultdir;results/SlotDurationLMAC/short/differentNS;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;runattr;;;runnumber;92;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;runattr;;;seedset;92;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;itervar;;;N;20;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;itervar;;;NS;int(ceil(20/8)*8);
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;itervar;;;slotDuration;0.19;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;result-dir;results/SlotDurationLMAC/short/differentNS;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;*.sensorsTotalNumber;20;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;**.vector-recording;false;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;**.wlan[*].mac.typename;LMac;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;**.wlan[*].mac.headerLength;1B;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;**.mac.slotDuration;0.19s;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;**.mac.numSlots;int(ceil(20/8)*8);
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;**.mac.reservedMobileSlots;0;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;network;SimMAC;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;*.distFromSensorToSink;50m;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;*.distFromServerToSink;30m;
SlotDurationLMAC_differentNS_short-92-20230507-16:38:22-14640;config;;;sim-time-limit;100s;
