run;type;module;name;attrname;attrvalue;value
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;runattr;;;configname;SlotDurationLMAC_differentNS;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;runattr;;;datetime;20230509-18:16:00;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;runattr;;;datetimef;20230509-181600;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;runattr;;;experiment;SlotDurationLMAC_differentNS;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;runattr;;;inifile;omnetpp.ini;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;runattr;;;iterationvars;$N=15, $slotDuration=0.7, $NS=int(ceil(15/8)*8);
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;runattr;;;iterationvarsd;N=15/slotDuration=0.7/NS=int(ceil(15#2f8)#2a8);
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;runattr;;;iterationvarsf;N=15,slotDuration=0.7,NS=int(ceil(15#2f8)#2a8)-;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;runattr;;;measurement;$N=15, $slotDuration=0.7, $NS=int(ceil(15/8)*8);
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;runattr;;;network;SimMAC;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;runattr;;;processid;5912;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;runattr;;;repetition;0;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;runattr;;;replication;#0;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;runattr;;;resultdir;results/SlotDurationLMAC/differentNS;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;runattr;;;runnumber;53;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;runattr;;;seedset;53;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;itervar;;;N;15;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;itervar;;;NS;int(ceil(15/8)*8);
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;itervar;;;slotDuration;0.7;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;result-dir;results/SlotDurationLMAC/differentNS;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.sensorsTotalNumber;15;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.vector-recording;false;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.wlan[*].mac.typename;LMac;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.wlan[*].mac.headerLength;1B;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.mac.slotDuration;0.7s;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.mac.numSlots;int(ceil(15/8)*8);
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.mac.reservedMobileSlots;0;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;network;SimMAC;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.distFromSensorToSink;50m;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.distFromServerToSink;30m;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;sim-time-limit;100s;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.enableVisualisation;false;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.vector-recording;false;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.scalar-recording;false;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.param-recording;false;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.arp.typename;GlobalArp;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.netmaskRoutes;"""""";
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.gateway.forwarding;true;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.maxTransmissionDuration;100ms;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.configurator.addStaticRoutes;false;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.mobility.constraintAreaMaxX;500m;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.mobility.constraintAreaMinX;0m;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.mobility.constraintAreaMaxY;400m;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.mobility.constraintAreaMinY;0m;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.mobility.constraintAreaMaxZ;0m;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.mobility.constraintAreaMinZ;0m;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.mobility.initFromDisplayString;false;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.radio.centerFrequency;2.45GHz;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.radio.bandwidth;2.8MHz;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.radio.transmitter.bitrate;19200 bps;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.radio.transmitter.headerLength;8b;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.radio.transmitter.preambleDuration;0.0001s;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.radio.transmitter.power;2.24mW;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.radio.receiver.energyDetection;-90dBm;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.radio.receiver.sensitivity;-100dBm;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;**.radio.receiver.snirThreshold;-8dB;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.radioMedium.backgroundNoise.power;-110dBm;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.visualizer.*.routingTableVisualizer.displayRoutingTables;false;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.visualizer.*.routingTableVisualizer.displayRoutesIndividually;false;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.visualizer.*.routingTableVisualizer.lineShift;0;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.visualizer.*.routingTableVisualizer.displayLabels;false;
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.visualizer.*.infoVisualizer.modules;"""*.server.app[0]""";
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.visualizer.*.infoVisualizer.format;"""%t""";
SlotDurationLMAC_differentNS-53-20230509-18:16:00-5912;config;;;*.sensorType1*.numApps;1;
