run;type;module;name;attrname;attrvalue;value
SlotDurationXMAC_short-82-20230507-17:00:10-5892;runattr;;;configname;SlotDurationXMAC_short;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;runattr;;;datetime;20230507-17:00:10;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;runattr;;;datetimef;20230507-170010;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;runattr;;;experiment;SlotDurationXMAC_short;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;runattr;;;inifile;omnetpp.ini;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;runattr;;;iterationvars;$N=15, $gSlotDuration=0.23, $sSlotDuration=2.5*0.23;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;runattr;;;iterationvarsd;N=15/gSlotDuration=0.23/sSlotDuration=2.5#2a0.23;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;runattr;;;iterationvarsf;N=15,gSlotDuration=0.23,sSlotDuration=2.5#2a0.23-;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;runattr;;;measurement;$N=15, $gSlotDuration=0.23, $sSlotDuration=2.5*0.23;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;runattr;;;network;SimMAC;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;runattr;;;processid;5892;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;runattr;;;repetition;0;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;runattr;;;replication;#0;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;runattr;;;resultdir;results/SlotDurationXMAC/short;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;runattr;;;runnumber;82;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;runattr;;;seedset;82;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;itervar;;;N;15;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;itervar;;;gSlotDuration;0.23;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;itervar;;;sSlotDuration;2.5*0.23;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationXMAC_short-82-20230507-17:00:10-5892;config;;;result-dir;results/SlotDurationXMAC/short;
