run;type;module;name;attrname;attrvalue;value
SlotDurationXMAC_short-252-20230507-17:20:40-1924;runattr;;;configname;SlotDurationXMAC_short;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;runattr;;;datetime;20230507-17:20:40;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;runattr;;;datetimef;20230507-172040;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;runattr;;;experiment;SlotDurationXMAC_short;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;runattr;;;inifile;omnetpp.ini;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;runattr;;;iterationvars;$N=45, $gSlotDuration=0.13, $sSlotDuration=2.5*0.13;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;runattr;;;iterationvarsd;N=45/gSlotDuration=0.13/sSlotDuration=2.5#2a0.13;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;runattr;;;iterationvarsf;N=45,gSlotDuration=0.13,sSlotDuration=2.5#2a0.13-;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;runattr;;;measurement;$N=45, $gSlotDuration=0.13, $sSlotDuration=2.5*0.13;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;runattr;;;network;SimMAC;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;runattr;;;processid;1924;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;runattr;;;repetition;0;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;runattr;;;replication;#0;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;runattr;;;resultdir;results/SlotDurationXMAC/short;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;runattr;;;runnumber;252;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;runattr;;;seedset;252;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;itervar;;;N;45;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;itervar;;;gSlotDuration;0.13;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;itervar;;;sSlotDuration;2.5*0.13;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;result-dir;results/SlotDurationXMAC/short;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.sensorsTotalNumber;45;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.vector-recording;false;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.wlan[*].mac.typename;XMac;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.wlan[*].mac.headerLength;80b;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.gateway.wlan[*].mac.slotDuration;0.13s;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.sensor*.wlan[*].mac.slotDuration;2.5*0.13s;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;network;SimMAC;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.distFromSensorToSink;50m;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.distFromServerToSink;30m;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;sim-time-limit;100s;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.enableVisualisation;false;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.vector-recording;false;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.scalar-recording;false;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.param-recording;false;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.arp.typename;GlobalArp;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.netmaskRoutes;"""""";
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.gateway.forwarding;true;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.maxTransmissionDuration;100ms;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;*.configurator.addStaticRoutes;false;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.mobility.constraintAreaMaxX;500m;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.mobility.constraintAreaMinX;0m;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.mobility.constraintAreaMaxY;400m;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.mobility.constraintAreaMinY;0m;
SlotDurationXMAC_short-252-20230507-17:20:40-1924;config;;;**.mobility.constraintAreaMaxZ;0m;
