run;type;module;name;attrname;attrvalue;value
SlotDurationXMAC-41-20230507-11:28:33-7356;runattr;;;configname;SlotDurationXMAC;
SlotDurationXMAC-41-20230507-11:28:33-7356;runattr;;;datetime;20230507-11:28:33;
SlotDurationXMAC-41-20230507-11:28:33-7356;runattr;;;datetimef;20230507-112833;
SlotDurationXMAC-41-20230507-11:28:33-7356;runattr;;;experiment;SlotDurationXMAC;
SlotDurationXMAC-41-20230507-11:28:33-7356;runattr;;;inifile;omnetpp.ini;
SlotDurationXMAC-41-20230507-11:28:33-7356;runattr;;;iterationvars;$N=15, $gSlotDuration=0.1, $sSlotDuration=2.5*0.1;
SlotDurationXMAC-41-20230507-11:28:33-7356;runattr;;;iterationvarsd;N=15/gSlotDuration=0.1/sSlotDuration=2.5#2a0.1;
SlotDurationXMAC-41-20230507-11:28:33-7356;runattr;;;iterationvarsf;N=15,gSlotDuration=0.1,sSlotDuration=2.5#2a0.1-;
SlotDurationXMAC-41-20230507-11:28:33-7356;runattr;;;measurement;$N=15, $gSlotDuration=0.1, $sSlotDuration=2.5*0.1;
SlotDurationXMAC-41-20230507-11:28:33-7356;runattr;;;network;SimMAC;
SlotDurationXMAC-41-20230507-11:28:33-7356;runattr;;;processid;7356;
SlotDurationXMAC-41-20230507-11:28:33-7356;runattr;;;repetition;0;
SlotDurationXMAC-41-20230507-11:28:33-7356;runattr;;;replication;#0;
SlotDurationXMAC-41-20230507-11:28:33-7356;runattr;;;resultdir;results/SlotDurationXMAC;
SlotDurationXMAC-41-20230507-11:28:33-7356;runattr;;;runnumber;41;
SlotDurationXMAC-41-20230507-11:28:33-7356;runattr;;;seedset;41;
SlotDurationXMAC-41-20230507-11:28:33-7356;itervar;;;N;15;
SlotDurationXMAC-41-20230507-11:28:33-7356;itervar;;;gSlotDuration;0.1;
SlotDurationXMAC-41-20230507-11:28:33-7356;itervar;;;sSlotDuration;2.5*0.1;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;result-dir;results/SlotDurationXMAC;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.sensorsTotalNumber;15;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.vector-recording;false;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.wlan[*].mac.typename;XMac;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.wlan[*].mac.headerLength;80b;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.gateway.wlan[*].mac.slotDuration;0.1s;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.sensor*.wlan[*].mac.slotDuration;2.5*0.1s;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;network;SimMAC;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.distFromSensorToSink;50m;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.distFromServerToSink;30m;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;sim-time-limit;100s;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.enableVisualisation;false;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.vector-recording;false;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.scalar-recording;false;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.param-recording;false;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.arp.typename;GlobalArp;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.netmaskRoutes;"""""";
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.gateway.forwarding;true;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.maxTransmissionDuration;100ms;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.configurator.addStaticRoutes;false;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.mobility.constraintAreaMaxX;500m;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.mobility.constraintAreaMinX;0m;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.mobility.constraintAreaMaxY;400m;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.mobility.constraintAreaMinY;0m;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.mobility.constraintAreaMaxZ;0m;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.mobility.constraintAreaMinZ;0m;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.mobility.initFromDisplayString;false;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.radio.centerFrequency;2.45GHz;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.radio.bandwidth;2.8MHz;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.radio.transmitter.bitrate;19200 bps;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.radio.transmitter.headerLength;8b;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.radio.transmitter.preambleDuration;0.0001s;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.radio.transmitter.power;2.24mW;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.radio.receiver.energyDetection;-90dBm;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.radio.receiver.sensitivity;-100dBm;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;**.radio.receiver.snirThreshold;-8dB;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.radioMedium.backgroundNoise.power;-110dBm;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.visualizer.*.routingTableVisualizer.displayRoutingTables;false;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.visualizer.*.routingTableVisualizer.displayRoutesIndividually;false;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.visualizer.*.routingTableVisualizer.lineShift;0;
SlotDurationXMAC-41-20230507-11:28:33-7356;config;;;*.visualizer.*.routingTableVisualizer.displayLabels;false;
