run;type;module;name;attrname;attrvalue;value
SlotDurationXMAC-181-20230507-12:09:30-2700;runattr;;;configname;SlotDurationXMAC;
SlotDurationXMAC-181-20230507-12:09:30-2700;runattr;;;datetime;20230507-12:09:30;
SlotDurationXMAC-181-20230507-12:09:30-2700;runattr;;;datetimef;20230507-120930;
SlotDurationXMAC-181-20230507-12:09:30-2700;runattr;;;experiment;SlotDurationXMAC;
SlotDurationXMAC-181-20230507-12:09:30-2700;runattr;;;inifile;omnetpp.ini;
SlotDurationXMAC-181-20230507-12:09:30-2700;runattr;;;iterationvars;$N=50, $gSlotDuration=0.1, $sSlotDuration=2.5*0.1;
SlotDurationXMAC-181-20230507-12:09:30-2700;runattr;;;iterationvarsd;N=50/gSlotDuration=0.1/sSlotDuration=2.5#2a0.1;
SlotDurationXMAC-181-20230507-12:09:30-2700;runattr;;;iterationvarsf;N=50,gSlotDuration=0.1,sSlotDuration=2.5#2a0.1-;
SlotDurationXMAC-181-20230507-12:09:30-2700;runattr;;;measurement;$N=50, $gSlotDuration=0.1, $sSlotDuration=2.5*0.1;
SlotDurationXMAC-181-20230507-12:09:30-2700;runattr;;;network;SimMAC;
SlotDurationXMAC-181-20230507-12:09:30-2700;runattr;;;processid;2700;
SlotDurationXMAC-181-20230507-12:09:30-2700;runattr;;;repetition;0;
SlotDurationXMAC-181-20230507-12:09:30-2700;runattr;;;replication;#0;
SlotDurationXMAC-181-20230507-12:09:30-2700;runattr;;;resultdir;results/SlotDurationXMAC;
SlotDurationXMAC-181-20230507-12:09:30-2700;runattr;;;runnumber;181;
SlotDurationXMAC-181-20230507-12:09:30-2700;runattr;;;seedset;181;
SlotDurationXMAC-181-20230507-12:09:30-2700;itervar;;;N;50;
SlotDurationXMAC-181-20230507-12:09:30-2700;itervar;;;gSlotDuration;0.1;
SlotDurationXMAC-181-20230507-12:09:30-2700;itervar;;;sSlotDuration;2.5*0.1;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;result-dir;results/SlotDurationXMAC;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorsTotalNumber;50;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.vector-recording;false;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.wlan[*].mac.typename;XMac;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.wlan[*].mac.headerLength;80b;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.gateway.wlan[*].mac.slotDuration;0.1s;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensor*.wlan[*].mac.slotDuration;2.5*0.1s;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;network;SimMAC;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.distFromSensorToSink;50m;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.distFromServerToSink;30m;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;sim-time-limit;100s;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.enableVisualisation;false;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.vector-recording;false;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.scalar-recording;false;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.param-recording;false;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.arp.typename;GlobalArp;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.netmaskRoutes;"""""";
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.gateway.forwarding;true;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.maxTransmissionDuration;100ms;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.configurator.addStaticRoutes;false;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.mobility.constraintAreaMaxX;500m;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.mobility.constraintAreaMinX;0m;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.mobility.constraintAreaMaxY;400m;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.mobility.constraintAreaMinY;0m;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.mobility.constraintAreaMaxZ;0m;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.mobility.constraintAreaMinZ;0m;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.mobility.initFromDisplayString;false;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.radio.centerFrequency;2.45GHz;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.radio.bandwidth;2.8MHz;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.radio.transmitter.bitrate;19200 bps;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.radio.transmitter.headerLength;8b;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.radio.transmitter.preambleDuration;0.0001s;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.radio.transmitter.power;2.24mW;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.radio.receiver.energyDetection;-90dBm;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.radio.receiver.sensitivity;-100dBm;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;**.radio.receiver.snirThreshold;-8dB;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.radioMedium.backgroundNoise.power;-110dBm;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.visualizer.*.routingTableVisualizer.displayRoutingTables;false;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.visualizer.*.routingTableVisualizer.displayRoutesIndividually;false;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.visualizer.*.routingTableVisualizer.lineShift;0;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.visualizer.*.routingTableVisualizer.displayLabels;false;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.visualizer.*.infoVisualizer.modules;"""*.server.app[0]""";
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.visualizer.*.infoVisualizer.format;"""%t""";
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType1*.numApps;1;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType1*.app[*].typename;UdpBasicApp;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType1*.app[*].destAddresses;"""server""";
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType1*.app[*].destPort;1000;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType1*.app[*].sendInterval;1s;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType1*.app[*].startTime;exponential(1s);
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType1*.app[*].messageLength;25Byte;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType1*.app[*].packetName;"""Type1SensorData""";
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType2*.numApps;1;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType2*.app[*].typename;UdpBasicApp;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType2*.app[*].destAddresses;"""server""";
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType2*.app[*].destPort;1000;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType2*.app[*].sendInterval;uniform(0.2s,0.5s);
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType2*.app[*].startTime;exponential(1s);
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType2*.app[*].messageLength;10Byte;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType2*.app[*].packetName;"""Type2SensorData""";
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType3*.numApps;1;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType3*.app[*].typename;UdpBasicApp;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType3*.app[*].destAddresses;"""server""";
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType3*.app[*].destPort;1000;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType3*.app[*].sendInterval;5s;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType3*.app[*].startTime;exponential(1s);
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType3*.app[*].messageLength;40Byte;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.sensorType3*.app[*].packetName;"""Type3SensorData""";
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.server.numApps;1;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.server.app[0].typename;UdpSink;
SlotDurationXMAC-181-20230507-12:09:30-2700;config;;;*.server.app[0].localPort;1000;
SlotDurationXMAC-182-20230507-12:10:26-2700;runattr;;;configname;SlotDurationXMAC;
SlotDurationXMAC-182-20230507-12:10:26-2700;runattr;;;datetime;20230507-12:10:26;
SlotDurationXMAC-182-20230507-12:10:26-2700;runattr;;;datetimef;20230507-121026;
SlotDurationXMAC-182-20230507-12:10:26-2700;runattr;;;experiment;SlotDurationXMAC;
SlotDurationXMAC-182-20230507-12:10:26-2700;runattr;;;inifile;omnetpp.ini;
SlotDurationXMAC-182-20230507-12:10:26-2700;runattr;;;iterationvars;$N=50, $gSlotDuration=0.15, $sSlotDuration=2.5*0.15;
SlotDurationXMAC-182-20230507-12:10:26-2700;runattr;;;iterationvarsd;N=50/gSlotDuration=0.15/sSlotDuration=2.5#2a0.15;
SlotDurationXMAC-182-20230507-12:10:26-2700;runattr;;;iterationvarsf;N=50,gSlotDuration=0.15,sSlotDuration=2.5#2a0.15-;
SlotDurationXMAC-182-20230507-12:10:26-2700;runattr;;;measurement;$N=50, $gSlotDuration=0.15, $sSlotDuration=2.5*0.15;
SlotDurationXMAC-182-20230507-12:10:26-2700;runattr;;;network;SimMAC;
SlotDurationXMAC-182-20230507-12:10:26-2700;runattr;;;processid;2700;
SlotDurationXMAC-182-20230507-12:10:26-2700;runattr;;;repetition;0;
SlotDurationXMAC-182-20230507-12:10:26-2700;runattr;;;replication;#0;
SlotDurationXMAC-182-20230507-12:10:26-2700;runattr;;;resultdir;results/SlotDurationXMAC;
SlotDurationXMAC-182-20230507-12:10:26-2700;runattr;;;runnumber;182;
SlotDurationXMAC-182-20230507-12:10:26-2700;runattr;;;seedset;182;
SlotDurationXMAC-182-20230507-12:10:26-2700;itervar;;;N;50;
SlotDurationXMAC-182-20230507-12:10:26-2700;itervar;;;gSlotDuration;0.15;
SlotDurationXMAC-182-20230507-12:10:26-2700;itervar;;;sSlotDuration;2.5*0.15;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;result-dir;results/SlotDurationXMAC;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.sensorsTotalNumber;50;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.vector-recording;false;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.wlan[*].mac.typename;XMac;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.wlan[*].mac.headerLength;80b;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.gateway.wlan[*].mac.slotDuration;0.15s;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.sensor*.wlan[*].mac.slotDuration;2.5*0.15s;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;network;SimMAC;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.distFromSensorToSink;50m;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.distFromServerToSink;30m;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;sim-time-limit;100s;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.enableVisualisation;false;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.vector-recording;false;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.scalar-recording;false;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.param-recording;false;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.arp.typename;GlobalArp;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.netmaskRoutes;"""""";
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.gateway.forwarding;true;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.maxTransmissionDuration;100ms;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;*.configurator.addStaticRoutes;false;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.mobility.constraintAreaMaxX;500m;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.mobility.constraintAreaMinX;0m;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.mobility.constraintAreaMaxY;400m;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.mobility.constraintAreaMinY;0m;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.mobility.constraintAreaMaxZ;0m;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.mobility.constraintAreaMinZ;0m;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.mobility.initFromDisplayString;false;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.radio.centerFrequency;2.45GHz;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.radio.bandwidth;2.8MHz;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.radio.transmitter.bitrate;19200 bps;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.radio.transmitter.headerLength;8b;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.radio.transmitter.preambleDuration;0.0001s;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.radio.transmitter.power;2.24mW;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.radio.receiver.energyDetection;-90dBm;
SlotDurationXMAC-182-20230507-12:10:26-2700;config;;;**.radio.receiver.sensitivity;-100dBm;
