run;type;module;name;attrname;attrvalue;value
BMAC_bestSD_small-14-20230516-17:46:29-8664;runattr;;;configname;BMAC_bestSD_small;
BMAC_bestSD_small-14-20230516-17:46:29-8664;runattr;;;datetime;20230516-17:46:29;
BMAC_bestSD_small-14-20230516-17:46:29-8664;runattr;;;datetimef;20230516-174629;
BMAC_bestSD_small-14-20230516-17:46:29-8664;runattr;;;experiment;BMAC_bestSD_small;
BMAC_bestSD_small-14-20230516-17:46:29-8664;runattr;;;inifile;omnetpp.ini;
BMAC_bestSD_small-14-20230516-17:46:29-8664;runattr;;;iterationvars;$N=19;
BMAC_bestSD_small-14-20230516-17:46:29-8664;runattr;;;iterationvarsd;N=19;
BMAC_bestSD_small-14-20230516-17:46:29-8664;runattr;;;iterationvarsf;N=19-;
BMAC_bestSD_small-14-20230516-17:46:29-8664;runattr;;;measurement;$N=19;
BMAC_bestSD_small-14-20230516-17:46:29-8664;runattr;;;network;SimMAC;
BMAC_bestSD_small-14-20230516-17:46:29-8664;runattr;;;processid;8664;
BMAC_bestSD_small-14-20230516-17:46:29-8664;runattr;;;repetition;0;
BMAC_bestSD_small-14-20230516-17:46:29-8664;runattr;;;replication;#0;
BMAC_bestSD_small-14-20230516-17:46:29-8664;runattr;;;resultdir;results/BMAC_bestSD_small;
BMAC_bestSD_small-14-20230516-17:46:29-8664;runattr;;;runnumber;14;
BMAC_bestSD_small-14-20230516-17:46:29-8664;runattr;;;seedset;14;
BMAC_bestSD_small-14-20230516-17:46:29-8664;itervar;;;N;19;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;image-path;../../../../../Omnet++/inet4.5/images;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;result-dir;results/BMAC_bestSD_small;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;*.distFromSensorToSink;20m;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;*.distFromServerToSink;5m;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;*.sensorsTotalNumber;19;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;**.vector-recording;false;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;**.wlan[*].mac.typename;BMac;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;**.wlan[*].mac.headerLength;1B;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;**.wlan[*].mac.slotDuration;0.04s;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;**.wlan[*].queue.typename;DropTailQueue;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;network;SimMAC;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;*.distFromSensorToSink;50m;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;*.distFromServerToSink;30m;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;sim-time-limit;100s;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;*.enableVisualisation;false;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;*.server.app[0].throughput:vector.vector-recording;true;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;**.vector-recording;false;
BMAC_bestSD_small-14-20230516-17:46:29-8664;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
