run;type;module;name;attrname;attrvalue;value
BMAC_bestSD_small-15-20230516-17:46:34-8664;runattr;;;configname;BMAC_bestSD_small;
BMAC_bestSD_small-15-20230516-17:46:34-8664;runattr;;;datetime;20230516-17:46:34;
BMAC_bestSD_small-15-20230516-17:46:34-8664;runattr;;;datetimef;20230516-174634;
BMAC_bestSD_small-15-20230516-17:46:34-8664;runattr;;;experiment;BMAC_bestSD_small;
BMAC_bestSD_small-15-20230516-17:46:34-8664;runattr;;;inifile;omnetpp.ini;
BMAC_bestSD_small-15-20230516-17:46:34-8664;runattr;;;iterationvars;$N=20;
BMAC_bestSD_small-15-20230516-17:46:34-8664;runattr;;;iterationvarsd;N=20;
BMAC_bestSD_small-15-20230516-17:46:34-8664;runattr;;;iterationvarsf;N=20-;
BMAC_bestSD_small-15-20230516-17:46:34-8664;runattr;;;measurement;$N=20;
BMAC_bestSD_small-15-20230516-17:46:34-8664;runattr;;;network;SimMAC;
BMAC_bestSD_small-15-20230516-17:46:34-8664;runattr;;;processid;8664;
BMAC_bestSD_small-15-20230516-17:46:34-8664;runattr;;;repetition;0;
BMAC_bestSD_small-15-20230516-17:46:34-8664;runattr;;;replication;#0;
BMAC_bestSD_small-15-20230516-17:46:34-8664;runattr;;;resultdir;results/BMAC_bestSD_small;
BMAC_bestSD_small-15-20230516-17:46:34-8664;runattr;;;runnumber;15;
BMAC_bestSD_small-15-20230516-17:46:34-8664;runattr;;;seedset;15;
BMAC_bestSD_small-15-20230516-17:46:34-8664;itervar;;;N;20;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;image-path;../../../../../Omnet++/inet4.5/images;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;result-dir;results/BMAC_bestSD_small;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.distFromSensorToSink;20m;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.distFromServerToSink;5m;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensorsTotalNumber;20;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.vector-recording;false;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.wlan[*].mac.typename;BMac;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.wlan[*].mac.headerLength;1B;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.wlan[*].mac.slotDuration;0.04s;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.wlan[*].queue.typename;DropTailQueue;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;network;SimMAC;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.distFromSensorToSink;50m;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.distFromServerToSink;30m;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;sim-time-limit;100s;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.enableVisualisation;false;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.server.app[0].throughput:vector.vector-recording;true;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.vector-recording;false;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.scalar-recording;false;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.param-recording;false;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.wlan[*].typename;WirelessInterface;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.arp.typename;GlobalArp;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.netmaskRoutes;"\"\"";
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.gateway.forwarding;true;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.maxTransmissionDuration;100ms;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.configurator.config;"xmldoc(\"topology.xml\")";
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.configurator.addStaticRoutes;false;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.mobility.constraintAreaMaxX;500m;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.mobility.constraintAreaMinX;0m;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.mobility.constraintAreaMaxY;400m;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.mobility.constraintAreaMinY;0m;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.mobility.constraintAreaMaxZ;0m;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.mobility.constraintAreaMinZ;0m;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.mobility.initFromDisplayString;false;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.radio.centerFrequency;2.45GHz;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.radio.bandwidth;2.8MHz;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.radio.transmitter.bitrate;19200 bps;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.radio.transmitter.headerLength;8b;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.radio.transmitter.preambleDuration;0.0001s;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.radio.transmitter.power;2.24mW;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.radio.receiver.energyDetection;-90dBm;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.radio.receiver.sensitivity;-100dBm;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;**.radio.receiver.snirThreshold;-8dB;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.radioMedium.backgroundNoise.power;-110dBm;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.visualizer.*.routingTableVisualizer.displayRoutingTables;false;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.visualizer.*.routingTableVisualizer.displayRoutesIndividually;false;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.visualizer.*.routingTableVisualizer.lineShift;0;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.visualizer.*.routingTableVisualizer.displayLabels;false;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.visualizer.*.infoVisualizer.modules;"\"*.server.app[0]\"";
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.visualizer.*.infoVisualizer.format;"\"%t\"";
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensorType1*.numApps;1;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensorType1*.app[*].typename;UdpBasicApp;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensorType1*.app[*].destAddresses;"\"server\"";
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensorType1*.app[*].destPort;1000;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensorType1*.app[*].sendInterval;1s;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensorType1*.app[*].startTime;exponential(1s);
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensorType1*.app[*].messageLength;25Byte;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensorType1*.app[*].packetName;"\"Type1SensorData\"";
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensorType2*.numApps;1;
BMAC_bestSD_small-15-20230516-17:46:34-8664;config;;;*.sensorType2*.app[*].typename;UdpBasicApp;
