run;type;module;name;attrname;attrvalue;value
LMAC_bestSD_small-11-20230516-17:49:00-9604;runattr;;;configname;LMAC_bestSD_small;
LMAC_bestSD_small-11-20230516-17:49:00-9604;runattr;;;datetime;20230516-17:49:00;
LMAC_bestSD_small-11-20230516-17:49:00-9604;runattr;;;datetimef;20230516-174900;
LMAC_bestSD_small-11-20230516-17:49:00-9604;runattr;;;experiment;LMAC_bestSD_small;
LMAC_bestSD_small-11-20230516-17:49:00-9604;runattr;;;inifile;omnetpp.ini;
LMAC_bestSD_small-11-20230516-17:49:00-9604;runattr;;;iterationvars;$N=16, $NS=int(ceil(16/8)*8);
LMAC_bestSD_small-11-20230516-17:49:00-9604;runattr;;;iterationvarsd;N=16/NS=int(ceil(16#2f8)#2a8);
LMAC_bestSD_small-11-20230516-17:49:00-9604;runattr;;;iterationvarsf;N=16,NS=int(ceil(16#2f8)#2a8)-;
LMAC_bestSD_small-11-20230516-17:49:00-9604;runattr;;;measurement;$N=16, $NS=int(ceil(16/8)*8);
LMAC_bestSD_small-11-20230516-17:49:00-9604;runattr;;;network;SimMAC;
LMAC_bestSD_small-11-20230516-17:49:00-9604;runattr;;;processid;9604;
LMAC_bestSD_small-11-20230516-17:49:00-9604;runattr;;;repetition;0;
LMAC_bestSD_small-11-20230516-17:49:00-9604;runattr;;;replication;#0;
LMAC_bestSD_small-11-20230516-17:49:00-9604;runattr;;;resultdir;results/LMAC_bestSD_small;
LMAC_bestSD_small-11-20230516-17:49:00-9604;runattr;;;runnumber;11;
LMAC_bestSD_small-11-20230516-17:49:00-9604;runattr;;;seedset;11;
LMAC_bestSD_small-11-20230516-17:49:00-9604;itervar;;;N;16;
LMAC_bestSD_small-11-20230516-17:49:00-9604;itervar;;;NS;int(ceil(16/8)*8);
LMAC_bestSD_small-11-20230516-17:49:00-9604;config;;;image-path;../../../../../Omnet++/inet4.5/images;
LMAC_bestSD_small-11-20230516-17:49:00-9604;config;;;result-dir;results/LMAC_bestSD_small;
