run;type;module;name;attrname;attrvalue;value
DefaultLMAC_small-14-20230516-17:45:08-3280;runattr;;;configname;DefaultLMAC_small;
DefaultLMAC_small-14-20230516-17:45:08-3280;runattr;;;datetime;20230516-17:45:08;
DefaultLMAC_small-14-20230516-17:45:08-3280;runattr;;;datetimef;20230516-174508;
DefaultLMAC_small-14-20230516-17:45:08-3280;runattr;;;experiment;DefaultLMAC_small;
DefaultLMAC_small-14-20230516-17:45:08-3280;runattr;;;inifile;omnetpp.ini;
DefaultLMAC_small-14-20230516-17:45:08-3280;runattr;;;iterationvars;$N=19;
DefaultLMAC_small-14-20230516-17:45:08-3280;runattr;;;iterationvarsd;N=19;
DefaultLMAC_small-14-20230516-17:45:08-3280;runattr;;;iterationvarsf;N=19-;
DefaultLMAC_small-14-20230516-17:45:08-3280;runattr;;;measurement;$N=19;
DefaultLMAC_small-14-20230516-17:45:08-3280;runattr;;;network;SimMAC;
DefaultLMAC_small-14-20230516-17:45:08-3280;runattr;;;processid;3280;
DefaultLMAC_small-14-20230516-17:45:08-3280;runattr;;;repetition;0;
DefaultLMAC_small-14-20230516-17:45:08-3280;runattr;;;replication;#0;
DefaultLMAC_small-14-20230516-17:45:08-3280;runattr;;;resultdir;results/DefaultLMAC_small;
DefaultLMAC_small-14-20230516-17:45:08-3280;runattr;;;runnumber;14;
DefaultLMAC_small-14-20230516-17:45:08-3280;runattr;;;seedset;14;
DefaultLMAC_small-14-20230516-17:45:08-3280;itervar;;;N;19;
DefaultLMAC_small-14-20230516-17:45:08-3280;config;;;image-path;../../../../../Omnet++/inet4.5/images;
DefaultLMAC_small-14-20230516-17:45:08-3280;config;;;result-dir;results/DefaultLMAC_small;
DefaultLMAC_small-14-20230516-17:45:08-3280;config;;;*.distFromSensorToSink;20m;
DefaultLMAC_small-14-20230516-17:45:08-3280;config;;;*.distFromServerToSink;5m;
DefaultLMAC_small-14-20230516-17:45:08-3280;config;;;*.sensorsTotalNumber;19;
