run;type;module;name;attrname;attrvalue;value
DefaultXMAC_small-2-20230511-19:05:48-12796;runattr;;;configname;DefaultXMAC_small;
DefaultXMAC_small-2-20230511-19:05:48-12796;runattr;;;datetime;20230511-19:05:48;
DefaultXMAC_small-2-20230511-19:05:48-12796;runattr;;;datetimef;20230511-190548;
DefaultXMAC_small-2-20230511-19:05:48-12796;runattr;;;experiment;DefaultXMAC_small;
DefaultXMAC_small-2-20230511-19:05:48-12796;runattr;;;inifile;omnetpp.ini;
DefaultXMAC_small-2-20230511-19:05:48-12796;runattr;;;iterationvars;$N=7;
DefaultXMAC_small-2-20230511-19:05:48-12796;runattr;;;iterationvarsd;N=7;
DefaultXMAC_small-2-20230511-19:05:48-12796;runattr;;;iterationvarsf;N=7-;
DefaultXMAC_small-2-20230511-19:05:48-12796;runattr;;;measurement;$N=7;
DefaultXMAC_small-2-20230511-19:05:48-12796;runattr;;;network;SimMAC;
DefaultXMAC_small-2-20230511-19:05:48-12796;runattr;;;processid;12796;
DefaultXMAC_small-2-20230511-19:05:48-12796;runattr;;;repetition;0;
DefaultXMAC_small-2-20230511-19:05:48-12796;runattr;;;replication;#0;
DefaultXMAC_small-2-20230511-19:05:48-12796;runattr;;;resultdir;results/DefaultXMAC_small;
DefaultXMAC_small-2-20230511-19:05:48-12796;runattr;;;runnumber;2;
DefaultXMAC_small-2-20230511-19:05:48-12796;runattr;;;seedset;2;
DefaultXMAC_small-2-20230511-19:05:48-12796;itervar;;;N;7;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;image-path;../../../../../Omnet++/inet4.5/images;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;result-dir;results/DefaultXMAC_small;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.distFromSensorToSink;20m;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.distFromServerToSink;5m;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.sensorsTotalNumber;7;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.vector-recording;false;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.wlan[*].mac.typename;XMac;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.wlan[*].mac.headerLength;80b;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.wlan[*].mac.slotDuration;1s;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.wlan[*].queue.typename;DropTailQueue;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;network;SimMAC;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.distFromSensorToSink;50m;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.distFromServerToSink;30m;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;sim-time-limit;100s;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.enableVisualisation;false;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.server.app[0].throughput:vector.vector-recording;true;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.vector-recording;false;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.scalar-recording;false;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.param-recording;false;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.wlan[*].typename;WirelessInterface;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.arp.typename;GlobalArp;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.netmaskRoutes;"""""";
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.gateway.forwarding;true;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.maxTransmissionDuration;100ms;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.configurator.addStaticRoutes;false;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.mobility.constraintAreaMaxX;500m;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.mobility.constraintAreaMinX;0m;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.mobility.constraintAreaMaxY;400m;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.mobility.constraintAreaMinY;0m;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.mobility.constraintAreaMaxZ;0m;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.mobility.constraintAreaMinZ;0m;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.mobility.initFromDisplayString;false;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.radio.centerFrequency;2.45GHz;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.radio.bandwidth;2.8MHz;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.radio.transmitter.bitrate;19200 bps;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.radio.transmitter.headerLength;8b;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.radio.transmitter.preambleDuration;0.0001s;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.radio.transmitter.power;2.24mW;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.radio.receiver.energyDetection;-90dBm;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.radio.receiver.sensitivity;-100dBm;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;**.radio.receiver.snirThreshold;-8dB;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.radioMedium.backgroundNoise.power;-110dBm;
DefaultXMAC_small-2-20230511-19:05:48-12796;config;;;*.visualizer.*.routingTableVisualizer.displayRoutingTables;false;
