run;type;module;name;attrname;attrvalue;value
SlotDurationBMac_short-147-20230507-13:39:18-13728;runattr;;;configname;SlotDurationBMac_short;
SlotDurationBMac_short-147-20230507-13:39:18-13728;runattr;;;datetime;20230507-13:39:18;
SlotDurationBMac_short-147-20230507-13:39:18-13728;runattr;;;datetimef;20230507-133918;
SlotDurationBMac_short-147-20230507-13:39:18-13728;runattr;;;experiment;SlotDurationBMac_short;
SlotDurationBMac_short-147-20230507-13:39:18-13728;runattr;;;inifile;omnetpp.ini;
SlotDurationBMac_short-147-20230507-13:39:18-13728;runattr;;;iterationvars;$N=25, $slotDuration=0.28;
SlotDurationBMac_short-147-20230507-13:39:18-13728;runattr;;;iterationvarsd;N=25/slotDuration=0.28;
SlotDurationBMac_short-147-20230507-13:39:18-13728;runattr;;;iterationvarsf;N=25,slotDuration=0.28-;
SlotDurationBMac_short-147-20230507-13:39:18-13728;runattr;;;measurement;$N=25, $slotDuration=0.28;
SlotDurationBMac_short-147-20230507-13:39:18-13728;runattr;;;network;SimMAC;
SlotDurationBMac_short-147-20230507-13:39:18-13728;runattr;;;processid;13728;
SlotDurationBMac_short-147-20230507-13:39:18-13728;runattr;;;repetition;0;
SlotDurationBMac_short-147-20230507-13:39:18-13728;runattr;;;replication;#0;
SlotDurationBMac_short-147-20230507-13:39:18-13728;runattr;;;resultdir;results/SlotDurationBMAC/short;
SlotDurationBMac_short-147-20230507-13:39:18-13728;runattr;;;runnumber;147;
SlotDurationBMac_short-147-20230507-13:39:18-13728;runattr;;;seedset;147;
SlotDurationBMac_short-147-20230507-13:39:18-13728;itervar;;;N;25;
SlotDurationBMac_short-147-20230507-13:39:18-13728;itervar;;;slotDuration;0.28;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;result-dir;results/SlotDurationBMAC/short;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorsTotalNumber;25;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.vector-recording;false;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.wlan[*].mac.typename;BMac;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.wlan[*].mac.headerLength;1B;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.wlan[*].mac.slotDuration;0.28s;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;network;SimMAC;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.distFromSensorToSink;50m;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.distFromServerToSink;30m;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;sim-time-limit;100s;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.enableVisualisation;false;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.vector-recording;false;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.scalar-recording;false;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.param-recording;false;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.arp.typename;GlobalArp;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.netmaskRoutes;"""""";
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.gateway.forwarding;true;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.maxTransmissionDuration;100ms;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.configurator.addStaticRoutes;false;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.mobility.constraintAreaMaxX;500m;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.mobility.constraintAreaMinX;0m;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.mobility.constraintAreaMaxY;400m;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.mobility.constraintAreaMinY;0m;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.mobility.constraintAreaMaxZ;0m;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.mobility.constraintAreaMinZ;0m;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.mobility.initFromDisplayString;false;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.radio.centerFrequency;2.45GHz;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.radio.bandwidth;2.8MHz;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.radio.transmitter.bitrate;19200 bps;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.radio.transmitter.headerLength;8b;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.radio.transmitter.preambleDuration;0.0001s;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.radio.transmitter.power;2.24mW;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.radio.receiver.energyDetection;-90dBm;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.radio.receiver.sensitivity;-100dBm;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;**.radio.receiver.snirThreshold;-8dB;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.radioMedium.backgroundNoise.power;-110dBm;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.visualizer.*.routingTableVisualizer.displayRoutingTables;false;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.visualizer.*.routingTableVisualizer.displayRoutesIndividually;false;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.visualizer.*.routingTableVisualizer.lineShift;0;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.visualizer.*.routingTableVisualizer.displayLabels;false;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.visualizer.*.infoVisualizer.modules;"""*.server.app[0]""";
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.visualizer.*.infoVisualizer.format;"""%t""";
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType1*.numApps;1;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType1*.app[*].typename;UdpBasicApp;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType1*.app[*].destAddresses;"""server""";
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType1*.app[*].destPort;1000;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType1*.app[*].sendInterval;1s;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType1*.app[*].startTime;exponential(1s);
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType1*.app[*].messageLength;25Byte;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType1*.app[*].packetName;"""Type1SensorData""";
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType2*.numApps;1;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType2*.app[*].typename;UdpBasicApp;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType2*.app[*].destAddresses;"""server""";
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType2*.app[*].destPort;1000;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType2*.app[*].sendInterval;uniform(0.2s,0.5s);
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType2*.app[*].startTime;exponential(1s);
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType2*.app[*].messageLength;10Byte;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType2*.app[*].packetName;"""Type2SensorData""";
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType3*.numApps;1;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType3*.app[*].typename;UdpBasicApp;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType3*.app[*].destAddresses;"""server""";
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType3*.app[*].destPort;1000;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType3*.app[*].sendInterval;5s;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType3*.app[*].startTime;exponential(1s);
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType3*.app[*].messageLength;40Byte;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.sensorType3*.app[*].packetName;"""Type3SensorData""";
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.server.numApps;1;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.server.app[0].typename;UdpSink;
SlotDurationBMac_short-147-20230507-13:39:18-13728;config;;;*.server.app[0].localPort;1000;
SlotDurationBMac_short-136-20230507-13:35:33-13420;runattr;;;configname;SlotDurationBMac_short;
SlotDurationBMac_short-136-20230507-13:35:33-13420;runattr;;;datetime;20230507-13:35:33;
SlotDurationBMac_short-136-20230507-13:35:33-13420;runattr;;;datetimef;20230507-133533;
SlotDurationBMac_short-136-20230507-13:35:33-13420;runattr;;;experiment;SlotDurationBMac_short;
SlotDurationBMac_short-136-20230507-13:35:33-13420;runattr;;;inifile;omnetpp.ini;
SlotDurationBMac_short-136-20230507-13:35:33-13420;runattr;;;iterationvars;$N=25, $slotDuration=0.17;
SlotDurationBMac_short-136-20230507-13:35:33-13420;runattr;;;iterationvarsd;N=25/slotDuration=0.17;
SlotDurationBMac_short-136-20230507-13:35:33-13420;runattr;;;iterationvarsf;N=25,slotDuration=0.17-;
SlotDurationBMac_short-136-20230507-13:35:33-13420;runattr;;;measurement;$N=25, $slotDuration=0.17;
SlotDurationBMac_short-136-20230507-13:35:33-13420;runattr;;;network;SimMAC;
SlotDurationBMac_short-136-20230507-13:35:33-13420;runattr;;;processid;13420;
SlotDurationBMac_short-136-20230507-13:35:33-13420;runattr;;;repetition;0;
SlotDurationBMac_short-136-20230507-13:35:33-13420;runattr;;;replication;#0;
SlotDurationBMac_short-136-20230507-13:35:33-13420;runattr;;;resultdir;results/SlotDurationBMAC/short;
SlotDurationBMac_short-136-20230507-13:35:33-13420;runattr;;;runnumber;136;
SlotDurationBMac_short-136-20230507-13:35:33-13420;runattr;;;seedset;136;
SlotDurationBMac_short-136-20230507-13:35:33-13420;itervar;;;N;25;
SlotDurationBMac_short-136-20230507-13:35:33-13420;itervar;;;slotDuration;0.17;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;result-dir;results/SlotDurationBMAC/short;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorsTotalNumber;25;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.vector-recording;false;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.wlan[*].mac.typename;BMac;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.wlan[*].mac.headerLength;1B;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.wlan[*].mac.slotDuration;0.17s;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;network;SimMAC;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.distFromSensorToSink;50m;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.distFromServerToSink;30m;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;sim-time-limit;100s;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.enableVisualisation;false;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.vector-recording;false;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.scalar-recording;false;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.param-recording;false;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.arp.typename;GlobalArp;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.netmaskRoutes;"""""";
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.gateway.forwarding;true;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.maxTransmissionDuration;100ms;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.configurator.addStaticRoutes;false;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.mobility.constraintAreaMaxX;500m;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.mobility.constraintAreaMinX;0m;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.mobility.constraintAreaMaxY;400m;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.mobility.constraintAreaMinY;0m;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.mobility.constraintAreaMaxZ;0m;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.mobility.constraintAreaMinZ;0m;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.mobility.initFromDisplayString;false;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.radio.centerFrequency;2.45GHz;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.radio.bandwidth;2.8MHz;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.radio.transmitter.bitrate;19200 bps;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.radio.transmitter.headerLength;8b;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.radio.transmitter.preambleDuration;0.0001s;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.radio.transmitter.power;2.24mW;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.radio.receiver.energyDetection;-90dBm;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.radio.receiver.sensitivity;-100dBm;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;**.radio.receiver.snirThreshold;-8dB;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.radioMedium.backgroundNoise.power;-110dBm;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.visualizer.*.routingTableVisualizer.displayRoutingTables;false;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.visualizer.*.routingTableVisualizer.displayRoutesIndividually;false;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.visualizer.*.routingTableVisualizer.lineShift;0;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.visualizer.*.routingTableVisualizer.displayLabels;false;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.visualizer.*.infoVisualizer.modules;"""*.server.app[0]""";
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.visualizer.*.infoVisualizer.format;"""%t""";
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType1*.numApps;1;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType1*.app[*].typename;UdpBasicApp;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType1*.app[*].destAddresses;"""server""";
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType1*.app[*].destPort;1000;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType1*.app[*].sendInterval;1s;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType1*.app[*].startTime;exponential(1s);
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType1*.app[*].messageLength;25Byte;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType1*.app[*].packetName;"""Type1SensorData""";
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType2*.numApps;1;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType2*.app[*].typename;UdpBasicApp;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType2*.app[*].destAddresses;"""server""";
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType2*.app[*].destPort;1000;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType2*.app[*].sendInterval;uniform(0.2s,0.5s);
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType2*.app[*].startTime;exponential(1s);
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType2*.app[*].messageLength;10Byte;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType2*.app[*].packetName;"""Type2SensorData""";
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType3*.numApps;1;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType3*.app[*].typename;UdpBasicApp;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType3*.app[*].destAddresses;"""server""";
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType3*.app[*].destPort;1000;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType3*.app[*].sendInterval;5s;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType3*.app[*].startTime;exponential(1s);
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType3*.app[*].messageLength;40Byte;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.sensorType3*.app[*].packetName;"""Type3SensorData""";
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.server.numApps;1;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.server.app[0].typename;UdpSink;
SlotDurationBMac_short-136-20230507-13:35:33-13420;config;;;*.server.app[0].localPort;1000;
