run;type;module;name;attrname;attrvalue;value
SlotDurationBMac-60-20230506-23:01:47-8016;runattr;;;configname;SlotDurationBMac;
SlotDurationBMac-60-20230506-23:01:47-8016;runattr;;;datetime;20230506-23:01:47;
SlotDurationBMac-60-20230506-23:01:47-8016;runattr;;;datetimef;20230506-230147;
SlotDurationBMac-60-20230506-23:01:47-8016;runattr;;;experiment;SlotDurationBMac;
SlotDurationBMac-60-20230506-23:01:47-8016;runattr;;;inifile;omnetpp.ini;
SlotDurationBMac-60-20230506-23:01:47-8016;runattr;;;iterationvars;$N=20, $slotDuration=0.05;
SlotDurationBMac-60-20230506-23:01:47-8016;runattr;;;iterationvarsd;N=20/slotDuration=0.05;
SlotDurationBMac-60-20230506-23:01:47-8016;runattr;;;iterationvarsf;N=20,slotDuration=0.05-;
SlotDurationBMac-60-20230506-23:01:47-8016;runattr;;;measurement;$N=20, $slotDuration=0.05;
SlotDurationBMac-60-20230506-23:01:47-8016;runattr;;;network;SimMAC;
SlotDurationBMac-60-20230506-23:01:47-8016;runattr;;;processid;8016;
SlotDurationBMac-60-20230506-23:01:47-8016;runattr;;;repetition;0;
SlotDurationBMac-60-20230506-23:01:47-8016;runattr;;;replication;#0;
SlotDurationBMac-60-20230506-23:01:47-8016;runattr;;;resultdir;results/SlotDurationBMAC;
SlotDurationBMac-60-20230506-23:01:47-8016;runattr;;;runnumber;60;
SlotDurationBMac-60-20230506-23:01:47-8016;runattr;;;seedset;60;
SlotDurationBMac-60-20230506-23:01:47-8016;itervar;;;N;20;
SlotDurationBMac-60-20230506-23:01:47-8016;itervar;;;slotDuration;0.05;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;result-dir;results/SlotDurationBMAC;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.sensorsTotalNumber;20;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.vector-recording;false;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.wlan[*].mac.typename;BMac;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.wlan[*].mac.headerLength;1B;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.wlan[*].mac.slotDuration;0.05s;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;network;SimMAC;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.distFromSensorToSink;50m;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.distFromServerToSink;30m;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;sim-time-limit;100s;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.enableVisualisation;false;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.vector-recording;false;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.scalar-recording;false;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.param-recording;false;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.arp.typename;GlobalArp;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.netmaskRoutes;"""""";
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.gateway.forwarding;true;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.maxTransmissionDuration;100ms;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.configurator.config;"xmldoc(""topology.xml"")";
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.configurator.addStaticRoutes;false;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.mobility.constraintAreaMaxX;500m;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.mobility.constraintAreaMinX;0m;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.mobility.constraintAreaMaxY;400m;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.mobility.constraintAreaMinY;0m;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.mobility.constraintAreaMaxZ;0m;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.mobility.constraintAreaMinZ;0m;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.mobility.initFromDisplayString;false;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.radio.centerFrequency;2.45GHz;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.radio.bandwidth;2.8MHz;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.radio.transmitter.bitrate;19200 bps;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.radio.transmitter.headerLength;8b;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.radio.transmitter.preambleDuration;0.0001s;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.radio.transmitter.power;2.24mW;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.radio.receiver.energyDetection;-90dBm;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.radio.receiver.sensitivity;-100dBm;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;**.radio.receiver.snirThreshold;-8dB;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.radioMedium.backgroundNoise.power;-110dBm;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.visualizer.*.routingTableVisualizer.displayRoutingTables;false;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.visualizer.*.routingTableVisualizer.displayRoutesIndividually;false;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.visualizer.*.routingTableVisualizer.lineShift;0;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.visualizer.*.routingTableVisualizer.displayLabels;false;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.visualizer.*.infoVisualizer.modules;"""*.server.app[0]""";
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.visualizer.*.infoVisualizer.format;"""%t""";
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.sensorType1*.numApps;1;
SlotDurationBMac-60-20230506-23:01:47-8016;config;;;*.sensorType1*.app[*].typename;UdpBasicApp;
