run;type;module;name;attrname;attrvalue;value
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;runattr;;;configname;SlotDurationLMAC_NS16_short;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;runattr;;;datetime;20230507-16:06:42;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;runattr;;;datetimef;20230507-160642;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;runattr;;;experiment;SlotDurationLMAC_NS16_short;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;runattr;;;inifile;omnetpp.ini;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;runattr;;;iterationvars;$N=45, $slotDuration=0.11;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;runattr;;;iterationvarsd;N=45/slotDuration=0.11;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;runattr;;;iterationvarsf;N=45,slotDuration=0.11-;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;runattr;;;measurement;$N=45, $slotDuration=0.11;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;runattr;;;network;SimMAC;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;runattr;;;processid;15148;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;runattr;;;repetition;0;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;runattr;;;replication;#0;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;runattr;;;resultdir;results/SlotDurationLMAC/short/NS16;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;runattr;;;runnumber;214;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;runattr;;;seedset;214;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;itervar;;;N;45;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;itervar;;;slotDuration;0.11;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;config;;;result-dir;results/SlotDurationLMAC/short/NS16;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;config;;;*.sensorsTotalNumber;45;
SlotDurationLMAC_NS16_short-214-20230507-16:06:42-15148;config;;;**.vector-recording;false;
