run;type;module;name;attrname;attrvalue;value
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;runattr;;;configname;SlotDurationLMAC_differentNS_short;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;runattr;;;datetime;20230507-16:46:30;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;runattr;;;datetimef;20230507-164630;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;runattr;;;experiment;SlotDurationLMAC_differentNS_short;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;runattr;;;inifile;omnetpp.ini;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;runattr;;;iterationvars;$N=45, $slotDuration=0.22, $NS=int(ceil(45/8)*8);
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;runattr;;;iterationvarsd;N=45/slotDuration=0.22/NS=int(ceil(45#2f8)#2a8);
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;runattr;;;iterationvarsf;N=45,slotDuration=0.22,NS=int(ceil(45#2f8)#2a8)-;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;runattr;;;measurement;$N=45, $slotDuration=0.22, $NS=int(ceil(45/8)*8);
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;runattr;;;network;SimMAC;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;runattr;;;processid;15944;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;runattr;;;repetition;0;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;runattr;;;replication;#0;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;runattr;;;resultdir;results/SlotDurationLMAC/short/differentNS;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;runattr;;;runnumber;225;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;runattr;;;seedset;225;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;itervar;;;N;45;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;itervar;;;NS;int(ceil(45/8)*8);
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;itervar;;;slotDuration;0.22;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;result-dir;results/SlotDurationLMAC/short/differentNS;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;*.sensorsTotalNumber;45;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;**.vector-recording;false;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;**.wlan[*].mac.typename;LMac;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;**.wlan[*].mac.headerLength;1B;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;**.mac.slotDuration;0.22s;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;**.mac.numSlots;int(ceil(45/8)*8);
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;**.mac.reservedMobileSlots;0;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;**.wlan[*].queue.typename;DropTailQueue;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;network;SimMAC;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;*.sensorsType1Number;int(floor(0.5*sensorsTotalNumber));
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;*.sensorsType2Number;int(floor(0.3*sensorsTotalNumber));
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;*.sensorsType3Number;sensorsTotalNumber - (sensorsType1Number + sensorsType2Number);
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;*.distFromSensorToSink;50m;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;*.distFromServerToSink;30m;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;sim-time-limit;100s;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;*.enableVisualisation;false;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;*.sensor*.udp.packetSent:vector(packetBytes).vector-recording;true;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;*.server.udp.packetReceived:vector(packetBytes).vector-recording;true;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;*.gateway.eth[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;*.sensorType*[0].wlan[0].queue.outgoingDataRate:vector.vector-recording;true;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;**.energyStorage.residualEnergyCapacity:vector.vector-recording;true;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;*.server.app[0].endToEndDelay:vector.vector-recording;true;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;*.server.app[0].throughput:vector.vector-recording;true;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;**.vector-recording;false;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;*.server.udp.packetReceived:count.scalar-recording;true;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;*.sensor*.udp.packetSent:count.scalar-recording;true;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;**.residualEnergyCapacity:last.scalar-recording;true;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;**.scalar-recording;false;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;**.param-recording;false;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;**.wlan[*].typename;WirelessInterface;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;**.wlan[*].radio.typename;ApskScalarRadio;
SlotDurationLMAC_differentNS_short-225-20230507-16:46:30-15944;config;;;**.arp.typename;GlobalArp;
