run;type;module;name;attrname;attrvalue;value
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;runattr;;;configname;SlotDurationLMAC_differentNS;
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;runattr;;;datetime;20230509-18:17:41;
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;runattr;;;datetimef;20230509-181741;
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;runattr;;;experiment;SlotDurationLMAC_differentNS;
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;runattr;;;inifile;omnetpp.ini;
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;runattr;;;iterationvars;$N=25, $slotDuration=0.15, $NS=int(ceil(25/8)*8);
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;runattr;;;iterationvarsd;N=25/slotDuration=0.15/NS=int(ceil(25#2f8)#2a8);
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;runattr;;;iterationvarsf;N=25,slotDuration=0.15,NS=int(ceil(25#2f8)#2a8)-;
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;runattr;;;measurement;$N=25, $slotDuration=0.15, $NS=int(ceil(25/8)*8);
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;runattr;;;network;SimMAC;
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;runattr;;;processid;13664;
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;runattr;;;repetition;0;
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;runattr;;;replication;#0;
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;runattr;;;resultdir;results/SlotDurationLMAC/differentNS;
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;runattr;;;runnumber;82;
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;runattr;;;seedset;82;
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;itervar;;;N;25;
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;itervar;;;NS;int(ceil(25/8)*8);
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;itervar;;;slotDuration;0.15;
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationLMAC_differentNS-82-20230509-18:17:41-13664;config;;;result-dir;results/SlotDurationLMAC/differentNS;
