run;type;module;name;attrname;attrvalue;value
SlotDurationXMAC_short-271-20230507-17:27:45-10392;runattr;;;configname;SlotDurationXMAC_short;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;runattr;;;datetime;20230507-17:27:45;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;runattr;;;datetimef;20230507-172745;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;runattr;;;experiment;SlotDurationXMAC_short;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;runattr;;;inifile;omnetpp.ini;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;runattr;;;iterationvars;$N=50, $gSlotDuration=0.02, $sSlotDuration=2.5*0.02;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;runattr;;;iterationvarsd;N=50/gSlotDuration=0.02/sSlotDuration=2.5#2a0.02;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;runattr;;;iterationvarsf;N=50,gSlotDuration=0.02,sSlotDuration=2.5#2a0.02-;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;runattr;;;measurement;$N=50, $gSlotDuration=0.02, $sSlotDuration=2.5*0.02;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;runattr;;;network;SimMAC;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;runattr;;;processid;10392;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;runattr;;;repetition;0;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;runattr;;;replication;#0;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;runattr;;;resultdir;results/SlotDurationXMAC/short;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;runattr;;;runnumber;271;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;runattr;;;seedset;271;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;itervar;;;N;50;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;itervar;;;gSlotDuration;0.02;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;itervar;;;sSlotDuration;2.5*0.02;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;config;;;result-dir;results/SlotDurationXMAC/short;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;config;;;*.sensorsTotalNumber;50;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;config;;;**.vector-recording;false;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;config;;;**.wlan[*].mac.typename;XMac;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;config;;;**.wlan[*].mac.headerLength;80b;
SlotDurationXMAC_short-271-20230507-17:27:45-10392;config;;;*.gateway.wlan[*].mac.slotDuration;0.02s;
