run;type;module;name;attrname;attrvalue;value
SlotDurationXMAC-104-20230507-11:33:34-17672;runattr;;;configname;SlotDurationXMAC;
SlotDurationXMAC-104-20230507-11:33:34-17672;runattr;;;datetime;20230507-11:33:34;
SlotDurationXMAC-104-20230507-11:33:34-17672;runattr;;;datetimef;20230507-113334;
SlotDurationXMAC-104-20230507-11:33:34-17672;runattr;;;experiment;SlotDurationXMAC;
SlotDurationXMAC-104-20230507-11:33:34-17672;runattr;;;inifile;omnetpp.ini;
SlotDurationXMAC-104-20230507-11:33:34-17672;runattr;;;iterationvars;$N=30, $gSlotDuration=0.25, $sSlotDuration=2.5*0.25;
SlotDurationXMAC-104-20230507-11:33:34-17672;runattr;;;iterationvarsd;N=30/gSlotDuration=0.25/sSlotDuration=2.5#2a0.25;
SlotDurationXMAC-104-20230507-11:33:34-17672;runattr;;;iterationvarsf;N=30,gSlotDuration=0.25,sSlotDuration=2.5#2a0.25-;
SlotDurationXMAC-104-20230507-11:33:34-17672;runattr;;;measurement;$N=30, $gSlotDuration=0.25, $sSlotDuration=2.5*0.25;
SlotDurationXMAC-104-20230507-11:33:34-17672;runattr;;;network;SimMAC;
SlotDurationXMAC-104-20230507-11:33:34-17672;runattr;;;processid;17672;
SlotDurationXMAC-104-20230507-11:33:34-17672;runattr;;;repetition;0;
SlotDurationXMAC-104-20230507-11:33:34-17672;runattr;;;replication;#0;
SlotDurationXMAC-104-20230507-11:33:34-17672;runattr;;;resultdir;results/SlotDurationXMAC;
SlotDurationXMAC-104-20230507-11:33:34-17672;runattr;;;runnumber;104;
SlotDurationXMAC-104-20230507-11:33:34-17672;runattr;;;seedset;104;
SlotDurationXMAC-104-20230507-11:33:34-17672;itervar;;;N;30;
SlotDurationXMAC-104-20230507-11:33:34-17672;itervar;;;gSlotDuration;0.25;
SlotDurationXMAC-104-20230507-11:33:34-17672;itervar;;;sSlotDuration;2.5*0.25;
SlotDurationXMAC-104-20230507-11:33:34-17672;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationXMAC-104-20230507-11:33:34-17672;config;;;result-dir;results/SlotDurationXMAC;
SlotDurationXMAC-104-20230507-11:33:34-17672;config;;;*.sensorsTotalNumber;30;
SlotDurationXMAC-104-20230507-11:33:34-17672;config;;;**.vector-recording;false;
SlotDurationXMAC-104-20230507-11:33:34-17672;config;;;**.wlan[*].mac.typename;XMac;
