run;type;module;name;attrname;attrvalue;value
SlotDurationXMAC-164-20230507-11:56:45-13728;runattr;;;configname;SlotDurationXMAC;
SlotDurationXMAC-164-20230507-11:56:45-13728;runattr;;;datetime;20230507-11:56:45;
SlotDurationXMAC-164-20230507-11:56:45-13728;runattr;;;datetimef;20230507-115645;
SlotDurationXMAC-164-20230507-11:56:45-13728;runattr;;;experiment;SlotDurationXMAC;
SlotDurationXMAC-164-20230507-11:56:45-13728;runattr;;;inifile;omnetpp.ini;
SlotDurationXMAC-164-20230507-11:56:45-13728;runattr;;;iterationvars;$N=45, $gSlotDuration=0.25, $sSlotDuration=2.5*0.25;
SlotDurationXMAC-164-20230507-11:56:45-13728;runattr;;;iterationvarsd;N=45/gSlotDuration=0.25/sSlotDuration=2.5#2a0.25;
SlotDurationXMAC-164-20230507-11:56:45-13728;runattr;;;iterationvarsf;N=45,gSlotDuration=0.25,sSlotDuration=2.5#2a0.25-;
SlotDurationXMAC-164-20230507-11:56:45-13728;runattr;;;measurement;$N=45, $gSlotDuration=0.25, $sSlotDuration=2.5*0.25;
SlotDurationXMAC-164-20230507-11:56:45-13728;runattr;;;network;SimMAC;
SlotDurationXMAC-164-20230507-11:56:45-13728;runattr;;;processid;13728;
SlotDurationXMAC-164-20230507-11:56:45-13728;runattr;;;repetition;0;
SlotDurationXMAC-164-20230507-11:56:45-13728;runattr;;;replication;#0;
SlotDurationXMAC-164-20230507-11:56:45-13728;runattr;;;resultdir;results/SlotDurationXMAC;
SlotDurationXMAC-164-20230507-11:56:45-13728;runattr;;;runnumber;164;
SlotDurationXMAC-164-20230507-11:56:45-13728;runattr;;;seedset;164;
SlotDurationXMAC-164-20230507-11:56:45-13728;itervar;;;N;45;
SlotDurationXMAC-164-20230507-11:56:45-13728;itervar;;;gSlotDuration;0.25;
SlotDurationXMAC-164-20230507-11:56:45-13728;itervar;;;sSlotDuration;2.5*0.25;
SlotDurationXMAC-164-20230507-11:56:45-13728;config;;;image-path;../../../../../Omnet++/inet4.5/images;
SlotDurationXMAC-164-20230507-11:56:45-13728;config;;;result-dir;results/SlotDurationXMAC;
SlotDurationXMAC-164-20230507-11:56:45-13728;config;;;*.sensorsTotalNumber;45;
SlotDurationXMAC-164-20230507-11:56:45-13728;config;;;**.vector-recording;false;
SlotDurationXMAC-164-20230507-11:56:45-13728;config;;;**.wlan[*].mac.typename;XMac;
SlotDurationXMAC-164-20230507-11:56:45-13728;config;;;**.wlan[*].mac.headerLength;80b;
SlotDurationXMAC-164-20230507-11:56:45-13728;config;;;*.gateway.wlan[*].mac.slotDuration;0.25s;
SlotDurationXMAC-164-20230507-11:56:45-13728;config;;;*.sensor*.wlan[*].mac.slotDuration;2.5*0.25s;
